attack,target_type,nationality,weapon
Armed Assault,Military,Colombia,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Transportation,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Police,Germany,Melee
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Business,Turkey,Firearms
Assassination,Government (General),Afghanistan,Firearms
Assassination,Government (General),Algeria,Firearms
Assassination,Business,Algeria,Firearms
Assassination,Terrorists/Non-State Militia,West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Assassination,NGO,Peru,Firearms
Bombing/Explosion,Government (General),Yemen,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Yemen,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Peru,Firearms
Armed Assault,Transportation,Peru,Firearms
Hostage Taking (Kidnapping),Military,Angola,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Police,Germany,Melee
Assassination,Business,Algeria,Firearms
Assassination,Private Citizens & Property,Guatemala,Firearms
Assassination,Government (General),India,Firearms
Assassination,Religious Figures/Institutions,Philippines,Firearms
Assassination,Private Citizens & Property,South Africa,Firearms
Assassination,Journalists & Media,Turkey,Firearms
Assassination,Government (General),Turkey,Firearms
Armed Assault,Business,Japan,Incendiary
Facility/Infrastructure Attack,Business,Japan,Incendiary
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Police,Germany,Melee
Facility/Infrastructure Attack,Business,Germany,Melee
Armed Assault,Military,Sri Lanka,Firearms
Hostage Taking (Kidnapping),Business,South Korea,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Assassination,Police,Algeria,Firearms
Assassination,Police,Cambodia,Firearms
Assassination,Police,Israel,Firearms
Assassination,Police,Peru,Firearms
Assassination,Private Citizens & Property,Turkey,Firearms
Armed Assault,Private Citizens & Property,Turkey,Firearms
Facility/Infrastructure Attack,Airports & Aircraft,France,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Bombing/Explosion,Military,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Armed Assault,Police,Algeria,Firearms
Bombing/Explosion,Transportation,Turkey,Explosives/Bombs/Dynamite
Assassination,Government (General),India,Firearms
Assassination,Private Citizens & Property,Israel,Melee
Assassination,Private Citizens & Property,Israel,Melee
Assassination,Business,Israel,Firearms
Assassination,Terrorists/Non-State Militia,West Bank and Gaza Strip,Firearms
Assassination,Police,Sri Lanka,Firearms
Bombing/Explosion,Airports & Aircraft,Switzerland,Explosives/Bombs/Dynamite
Bombing/Explosion,Airports & Aircraft,Algeria,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Ecuador,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Togo,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Togo,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Maritime,Turkey,Incendiary
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (Diplomatic),United States,Incendiary
Armed Assault,Military,Kenya,Firearms
Armed Assault,Military,Turkey,Firearms
Hostage Taking (Kidnapping),Government (General),South Korea,Firearms
Assassination,Private Citizens & Property,Venezuela,Firearms
Hostage Taking (Kidnapping),Government (General),,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Government (Diplomatic),Kuwait,Firearms
Assassination,Government (General),West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Facility/Infrastructure Attack,Business,Germany,Melee
Unknown,Military,India,Unknown
Armed Assault,Military,Paraguay,Firearms
Hostage Taking (Kidnapping),Business,Philippines,Firearms
Assassination,Terrorists/Non-State Militia,Northern Ireland,Firearms
Assassination,Violent Political Party,West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Assassination,NGO,Great Britain,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Germany,Incendiary
Hostage Taking (Kidnapping),Violent Political Party,Nicaragua,Unknown
Assassination,Terrorists/Non-State Militia,Lebanon,Explosives/Bombs/Dynamite
Assassination,Terrorists/Non-State Militia,Lebanon,Firearms
Assassination,Police,Turkey,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Police,Algeria,Firearms
Bombing/Explosion,Government (Diplomatic),International,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Utilities,Pakistan,Firearms
Armed Assault,Government (General),Russia,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Business,Turkey,Firearms
Unknown,Private Citizens & Property,Brazil,Unknown
Unknown,Private Citizens & Property,Brazil,Unknown
Unknown,Private Citizens & Property,Brazil,Unknown
Assassination,Military,Algeria,Firearms
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Armed Assault,Police,Algeria,Firearms
Armed Assault,Police,United States,Firearms
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Armed Assault,Military,Turkey,Firearms
Assassination,Police,Egypt,Firearms
Assassination,Government (Diplomatic),Philippines,Unknown
Assassination,Government (Diplomatic),Kenya,Unknown
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Assassination,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Maritime,Panama,Firearms
Armed Assault,Private Citizens & Property,Paraguay,Firearms
Armed Assault,Military,Venezuela,Firearms
Assassination,Police,Algeria,Firearms
Armed Assault,Police,Algeria,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Police,Colombia,Unknown
Assassination,Telecommunication,Spain,Firearms
Bombing/Explosion,Educational Institution,Japan,Explosives/Bombs/Dynamite
Armed Assault,Terrorists/Non-State Militia,Lebanon,Firearms
Armed Assault,Police,Peru,Firearms
Facility/Infrastructure Attack,Government (Diplomatic),United States,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
Bombing/Explosion,Government (General),Venezuela,Explosives/Bombs/Dynamite
Assassination,Business,Venezuela,Firearms
Assassination,Military,Israel,Melee
Assassination,Government (Diplomatic),International,Unknown
Assassination,Journalists & Media,Norway,Unknown
Bombing/Explosion,Government (Diplomatic),Bulgaria,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Facility/Infrastructure Attack,Transportation,Taiwan,Incendiary
Hijacking,Business,Chile,Unknown
Hijacking,Airports & Aircraft,Pakistan,Firearms
Bombing/Explosion,Journalists & Media,Ecuador,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Chile,Unknown
Assassination,Terrorists/Non-State Militia,Northern Ireland,Firearms
Armed Assault,Maritime,Egypt,Firearms
Armed Assault,Government (General),El Salvador,Firearms
Armed Assault,Business,Niger,Firearms
Armed Assault,Military,Sri Lanka,Firearms
Bombing/Explosion,Private Citizens & Property,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Turkey,Firearms
Bombing/Explosion,Government (General),Japan,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),Japan,Incendiary
Bombing/Explosion,Private Citizens & Property,Dominican Republic,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Dominican Republic,Explosives/Bombs/Dynamite
Assassination,Business,Germany,Unknown
Armed Assault,Military,Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Military,India,Firearms
Bombing/Explosion,Government (General),Japan,Explosives/Bombs/Dynamite
Armed Assault,Government (Diplomatic),International,Firearms
Bombing/Explosion,Transportation,Philippines,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Venezuela,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Assassination,Religious Figures/Institutions,Italy,Firearms
Assassination,Military,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Unknown,Police,Haiti,Unknown
Armed Assault,Government (General),Iraq,Firearms
Bombing/Explosion,Military,Peru,Explosives/Bombs/Dynamite
Armed Assault,Airports & Aircraft,Japan,Incendiary
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Assassination,Government (General),Peru,Firearms
Assassination,Terrorists/Non-State Militia,Peru,Firearms
Bombing/Explosion,Government (General),Algeria,Explosives/Bombs/Dynamite
Armed Assault,Military,India,Firearms
Armed Assault,Police,India,Firearms
Unarmed Assault,Government (General),Japan,Other
Bombing/Explosion,Business,United States,Firearms
Armed Assault,Military,Turkey,Firearms
Bombing/Explosion,Government (General),Bolivia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,West Bank and Gaza Strip,Incendiary
Unknown,Educational Institution,Greece,Unknown
Unknown,Government (General),Guyana,Unknown
Unknown,Government (General),Guyana,Unknown
Armed Assault,Business,Peru,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Facility/Infrastructure Attack,Utilities,Turkey,Firearms
Facility/Infrastructure Attack,Religious Figures/Institutions,Japan,Incendiary
Bombing/Explosion,Business,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Bolivia,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Guatemala,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Guatemala,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Guyana,Incendiary
Assassination,Private Citizens & Property,West Bank and Gaza Strip,Firearms
Armed Assault,Police,Chile,Firearms
Unknown,Religious Figures/Institutions,India,Unknown
Armed Assault,Military,Kuwait,Firearms
Armed Assault,Business,Mozambique,Firearms
Armed Assault,Military,Sri Lanka,Firearms
Armed Assault,Government (General),Turkey,Firearms
Armed Assault,Business,Turkey,Firearms
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Dominican Republic,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Dominican Republic,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Egypt,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Police,India,Firearms
Armed Assault,Police,Sri Lanka,Firearms
Bombing/Explosion,Military,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Military,Turkey,Firearms
Assassination,Government (General),Pakistan,Firearms
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Bolivia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Chile,Incendiary
Bombing/Explosion,Religious Figures/Institutions,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,United States,Explosives/Bombs/Dynamite
Assassination,Government (General),Ecuador,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Peru,Incendiary
Assassination,Police,Peru,Firearms
Assassination,Private Citizens & Property,Israel,Melee
Assassination,Private Citizens & Property,South Africa,Incendiary
Assassination,Transportation,South Africa,Firearms
Bombing/Explosion,Private Citizens & Property,Great Britain,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Armed Assault,Military,Colombia,Firearms
Unknown,Airports & Aircraft,Madagascar,Unknown
Facility/Infrastructure Attack,Private Citizens & Property,Bosnia-Herzegovina,Incendiary
Bombing/Explosion,Business,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Great Britain,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Business,United States,Unknown
Hostage Taking (Kidnapping),Transportation,Turkey,Firearms
Bombing/Explosion,Government (Diplomatic),Spain,Explosives/Bombs/Dynamite
Assassination,Police,Colombia,Unknown
Assassination,Police,Algeria,Melee
Armed Assault,Police,India,Firearms
Armed Assault,Military,Indonesia,Firearms
Armed Assault,Military,Iraq,Firearms
Armed Assault,Police,Niger,Firearms
Armed Assault,Military,Philippines,Firearms
Armed Assault,Military,Philippines,Firearms
Armed Assault,Military,Philippines,Firearms
Armed Assault,Military,Philippines,Firearms
Assassination,Private Citizens & Property,Great Britain,Unknown
Bombing/Explosion,Business,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Thailand,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,France,Incendiary
Bombing/Explosion,Government (General),France,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Telecommunication,Colombia,Explosives/Bombs/Dynamite
Assassination,Business,United States,Firearms
Assassination,Police,France,Firearms
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Airports & Aircraft,Angola,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),South Africa,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Private Citizens & Property,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Police,India,Firearms
Armed Assault,Military,Iraq,Firearms
Unknown,Military,Israel,Unknown
Unarmed Assault,Military,Israel,Melee
